feature,feat_class,pred_class,x,y,fdr_pval_byclass,resp_class,error_type
FT1444,Bad,Bad,-0.10969696969696974,0.041515151515151505,0.8568722947591318,All equal,Bad peak avoided
FT1445,Bad,Bad,-0.06909090909090909,0.08363636363636351,0.8568722947591318,All equal,Bad peak avoided
FT1446,Bad,Bad,-0.07818181818181813,0.0912121212121213,0.8429821921175052,All equal,Bad peak avoided
FT1447,Bad,Bad,-0.0884848484848485,0.08000000000000007,0.8551194345208581,All equal,Bad peak avoided
FT1450,Good,Good,0.35030303030303034,0.43212121212121213,1.8990864968212933e-12,15m = DCM > 175m,Good peak found
FT1452,Bad,Bad,0.049090909090909074,0.11545454545454525,0.7862840431387088,All equal,Bad peak avoided
FT1454,Bad,Bad,-0.18484848484848482,-0.0015151515151514694,0.4637773349035084,Hard to tell,Bad peak avoided
FT1455,Bad,Bad,-0.06818181818181812,0.018030303030303063,0.9455707347548751,All equal,Bad peak avoided
FT1456,Bad,Bad,-0.08151515151515154,-0.08196969696969703,0.8568722947591318,All equal,Bad peak avoided
FT1458,Bad,Bad,-0.05787878787878786,-0.05499999999999994,0.9126758464291976,All equal,Bad peak avoided
FT1459,Bad,Bad,-0.12545454545454549,-0.031818181818181746,0.8440319187745489,All equal,Bad peak avoided
FT1460,Bad,Bad,-0.06606060606060604,0.01969696969696977,0.9455707347548751,All equal,Bad peak avoided
FT1461,Bad,Bad,-0.07878787878787874,-0.029696969696969555,0.9126758464291976,All equal,Bad peak avoided
FT1463,Bad,Bad,-0.1554545454545455,-0.016515151515151594,0.6976746524918976,All equal,Bad peak avoided
FT1464,Good,Good,0.14303030303030306,-0.15333333333333332,0.028257296327841082,15m < DCM = 175m,Good peak found
FT1466,Bad,Bad,-0.035454545454545516,-0.04287878787878796,0.8812464211570203,All equal,Bad peak avoided
FT1467,Bad,Bad,-0.07969696969696971,-0.05469696969696969,0.8674524610357536,All equal,Bad peak avoided
FT1468,Bad,Bad,-0.0036363636363636598,-3.030303030304715e-4,0.9993559284383016,All equal,Bad peak avoided
FT1470,Bad,Bad,-0.08969696969696972,0.032727272727272716,0.8812464211570203,All equal,Bad peak avoided
FT1471,Bad,Bad,-0.021212121212121238,0.058484848484848584,0.9455707347548751,All equal,Bad peak avoided
FT1472,Bad,Bad,-0.0021212121212120794,0.06106060606060604,0.9455707347548751,All equal,Bad peak avoided
FT1473,Bad,Bad,0.025454545454545396,0.032121212121211995,0.9884830418324115,All equal,Bad peak avoided
FT1474,Bad,Bad,0.047878787878787854,0.0033333333333334103,0.984945181542457,All equal,Bad peak avoided
FT1476,Bad,Bad,0.024242424242424176,0.035151515151515156,0.9865360476130436,All equal,Bad peak avoided
FT1477,Bad,Bad,-0.10606060606060608,-0.07060606060606056,0.8366016220554325,All equal,Bad peak avoided
FT1479,Bad,Bad,-0.0945454545454546,0.018181818181818077,0.8812464211570203,All equal,Bad peak avoided
FT1480,Bad,Bad,0.08969696969696961,0.011515151515151478,0.905116864980596,All equal,Bad peak avoided
FT1481,Good,Bad,0.5030303030303029,0.3096969696969696,1.4470723783631728e-11,DCM > 15m > 175m,Good peak missed
FT1483,Good,Good,-0.0036363636363636598,-0.16909090909090896,0.07495762272472548,Hard to tell,Good peak found
FT1484,Bad,Bad,-0.009696969696969648,-0.16303030303030308,0.43471628911936944,Hard to tell,Bad peak avoided
FT1485,Good,Good,-0.29393939393939394,-0.42333333333333334,5.055337137793269e-11,15m = DCM < 175m,Good peak found
FT1486,Bad,Bad,-0.07515151515151519,-0.17272727272727284,0.2497184539705392,15m = DCM < 175m,Bad peak avoided
FT1488,Bad,Bad,-0.055151515151515174,-0.17787878787878775,0.25184775760270683,Hard to tell,Bad peak avoided
FT1489,Bad,Bad,-0.21999999999999997,-0.2312121212121212,0.0015462082200783144,15m = DCM < 175m,Bad peak avoided
FT1491,Bad,Bad,-0.053333333333333344,-0.023030303030302957,0.9642104645357824,All equal,Bad peak avoided
FT1492,Bad,Bad,-0.07636363636363641,-0.041818181818181976,0.9092850823746766,All equal,Bad peak avoided
FT1493,Bad,Bad,0.031515151515151496,-0.015151515151515138,0.9914008451586125,All equal,Bad peak avoided
FT1494,Bad,Bad,0.018787878787878798,-0.09969696969696962,0.8568722947591318,All equal,Bad peak avoided
FT1495,Bad,Bad,-0.09030303030303033,-0.030000000000000027,0.8812464211570203,All equal,Bad peak avoided
