"feature","med_missed_scans"
"FT1172",8
"FT1173",0
"FT1174",0
"FT1175",2
"FT1176",4
"FT1177",39
"FT1178",15
"FT1179",15
"FT1180",42
"FT1181",8
"FT1182",5
"FT1183",10
"FT1184",1
"FT1185",2
"FT1186",0
"FT1187",4
"FT1188",1
"FT1189",3
"FT1190",-1
"FT1191",2.5
"FT1192",6
"FT1193",85
"FT1194",13
"FT1195",62
"FT1196",18
"FT1197",6
"FT1198",1
"FT1199",2
"FT1200",31.5
"FT1201",71
"FT1202",39.5
"FT1203",29
"FT1204",30.5
"FT1205",4
"FT1206",4.5
"FT1207",2
"FT1208",0
"FT1209",3.5
"FT1210",-1
"FT1211",37
"FT1212",3
"FT1213",15
"FT1214",17
"FT1215",92
"FT1216",20
"FT1217",2
"FT1218",3
"FT1219",2
"FT1220",3
"FT1221",4
"FT1222",1
"FT1223",5
"FT1224",3
"FT1225",3
"FT1226",9
"FT1227",19
"FT1228",5
"FT1229",5
"FT1230",7
"FT1231",1.5
"FT1232",18
"FT1233",3
"FT1234",6
"FT1235",33
"FT1236",34
"FT1237",21
"FT1238",3.5
"FT1239",12.5
"FT1240",61
"FT1241",15
"FT1242",35
"FT1243",92
"FT1244",10
"FT1245",7
"FT1246",5
"FT1247",3
"FT1248",0
"FT1249",1
"FT1250",3
"FT1251",121
"FT1252",22
"FT1253",0
"FT1254",3
"FT1255",0
"FT1256",1
"FT1257",15
"FT1258",0
"FT1259",1
"FT1260",1
"FT1261",0
"FT1262",1
"FT1263",0
"FT1264",5
"FT1265",8.5
"FT1266",12
"FT1267",27
"FT1268",5
"FT1269",14
"FT1270",16
"FT1271",8
"FT1272",8
"FT1273",5
"FT1274",19
"FT1275",2
"FT1276",29
"FT1277",15
"FT1278",0
"FT1279",2
"FT1280",3
"FT1281",1
"FT1282",1
"FT1283",1
"FT1284",10.5
"FT1285",9
"FT1286",8
"FT1287",14
"FT1288",3
"FT1289",9
"FT1290",8
"FT1291",7
"FT1292",6
"FT1293",10
"FT1294",4
"FT1295",3
"FT1296",24
"FT1297",30
"FT1298",-1
"FT1299",0
"FT1300",-2
"FT1301",13
"FT1302",11
"FT1303",0
"FT1304",1
"FT1305",1
"FT1306",38
"FT1307",-1
"FT1308",27.5
"FT1309",73.5
"FT1310",34
"FT1311",35
"FT1312",59
"FT1313",23
"FT1314",10
"FT1315",49.5
"FT1316",44
"FT1317",-17
"FT1318",2
"FT1319",2
"FT1320",9
"FT1321",3
"FT1322",4
"FT1323",52
"FT1324",12
"FT1325",1
"FT1326",7
"FT1327",3
"FT1328",9
"FT1329",4
"FT1330",25
"FT1331",0
"FT1332",2
"FT1333",5
"FT1334",28.5
"FT1335",5.5
"FT1336",20
"FT1337",24
"FT1338",6
"FT1339",6
"FT1340",10
"FT1341",2
"FT1342",5
"FT1343",14
"FT1344",3
"FT1345",19.5
"FT1346",44
"FT1347",13
"FT1348",17
"FT1349",6
"FT1350",14
"FT1351",4
"FT1352",3
"FT1353",2
"FT1354",1
"FT1355",-15.5
"FT1356",4
"FT1357",9.5
"FT1358",51
"FT1359",36.5
"FT1360",26
"FT1361",20
"FT1362",20
"FT1363",24
"FT1364",18
"FT1365",9
"FT1366",12
"FT1367",10
"FT1368",13.5
"FT1369",7
"FT1370",69
"FT1371",29
"FT1372",80.5
"FT1373",14
"FT1374",34
"FT1375",0
"FT1376",1
"FT1377",36
"FT1378",2
"FT1379",5
"FT1380",9
"FT1381",22
"FT1382",68
"FT1383",1.5
"FT1384",90
"FT1385",6
"FT1386",30
"FT1387",40.5
"FT1388",2
"FT1389",2
"FT1390",3
"FT1391",2
"FT1392",3
"FT1393",69
"FT1394",-3
"FT1395",2
"FT1396",4
"FT1397",3
"FT1398",-1
"FT1399",4
"FT1400",0
"FT1401",0
"FT1402",-1
"FT1403",0
"FT1404",27.5
"FT1405",25
"FT1406",8
"FT1407",-1
"FT1408",3
"FT1409",1
"FT1410",0
"FT1411",0
"FT1412",1
"FT1413",1
"FT1414",2
"FT1415",2
"FT1416",1
"FT1417",0
"FT1418",43
"FT1419",32
"FT1420",13.5
"FT1421",32
"FT1422",31
"FT1423",56
"FT1424",18
"FT1425",10
"FT1426",22.5
"FT1427",9.5
"FT1428",16
"FT1429",4
"FT1430",4.5
"FT1431",2
"FT1432",2
"FT1433",3
"FT1434",1
"FT1435",7
"FT1436",15
"FT1437",24
"FT1438",4
"FT1439",9
"FT1440",8
"FT1441",8
"FT1442",91
"FT1443",5
"FT1444",7.5
"FT1445",13
"FT1446",4
"FT1447",30
"FT1448",3
"FT1449",2
"FT1450",40
"FT1451",38
"FT1452",16
"FT1453",1.5
"FT1454",22
"FT1455",4
"FT1456",19
"FT1457",5
"FT1458",24.5
"FT1459",10.5
"FT1460",7
"FT1461",15
"FT1462",15
"FT1463",7
"FT1464",21
"FT1465",14
"FT1466",5
"FT1467",5
"FT1468",5.5
"FT1469",14
"FT1470",10
"FT1471",17
"FT1472",112
"FT1473",5
"FT1474",3
"FT1475",65
"FT1476",1
"FT1477",3
"FT1478",0
"FT1479",1
"FT1480",-16.5
"FT1481",0
"FT1482",0
"FT1483",7
"FT1484",1
"FT1485",1
"FT1486",0
"FT1487",5
"FT1488",-2
"FT1489",0
"FT1490",0
"FT1491",0
"FT1492",-1
"FT1493",0
"FT1494",1
"FT1495",-1
"FT1496",2
"FT1497",-1
"FT1498",1
"FT1499",15
"FT1500",8
"FT1501",14
"FT1502",4
"FT1503",6
"FT1504",4
"FT1505",5.5
"FT1506",3
"FT1507",12
"FT1508",29.5
"FT1509",49
"FT1510",3
"FT1511",53
"FT1512",10
"FT1513",7
"FT1514",1
"FT1515",1
"FT1516",2
"FT1517",1
"FT1518",0
"FT1519",1
"FT1520",2
"FT1521",1
"FT1522",1
"FT1523",0
"FT1524",1
"FT1525",0
"FT1526",0
"FT1527",1
"FT1528",1
"FT1529",0
"FT1530",0
"FT1531",0
"FT1532",-21.5
"FT1533",3
"FT1534",0
"FT1535",-7
"FT1536",0
"FT1537",10
"FT1538",0
"FT1539",0
"FT1540",0
"FT1541",-1
"FT1542",1
"FT1543",0
"FT1544",0
"FT1545",3
"FT1546",0
"FT1547",0
"FT1548",42
"FT1549",0
"FT1550",8
"FT1551",33
"FT1552",9
"FT1553",46
"FT1554",0
"FT1555",0
"FT1556",0
"FT1557",-1
"FT1558",73
"FT1559",8.5
"FT1560",10
"FT1561",15
"FT1562",16
"FT1563",7
"FT1564",15.5
"FT1565",9.5
"FT1566",15
"FT1567",3
"FT1568",23
"FT1569",6
"FT1570",4.5
"FT1571",4
"FT1572",2
"FT1573",39
"FT1574",20
"FT1575",47
"FT1576",31.5
"FT1577",34.5
"FT1578",13.5
"FT1579",16
