"feature","smp_to_std"
"FT0401",-0.647493777207784
"FT0402",-0.494214981509668
"FT0403",-0.304408048457146
"FT0404",-1.27368185721398
"FT0405",-0.956192070045678
"FT0406",-4.36715947560173
"FT0407",-4.36715947560173
"FT0408",0.0198667778580882
"FT0409",0.127553276198777
"FT0410",3.53470070265769
"FT0411",-0.124549037318631
"FT0412",3.53470070265769
"FT0413",-4.36715947560173
"FT0414",-0.1865920422946
"FT0415",-0.454589962619135
"FT0416",-0.219060608995736
"FT0417",-0.633771007003483
"FT0418",-0.545248542171875
"FT0419",-0.308370608277227
"FT0420",-0.294324905149645
"FT0421",-0.308252717953083
"FT0422",-0.174257454705625
"FT0423",-0.264792223171791
"FT0424",-0.241664481920788
"FT0425",-0.307063508039295
"FT0426",-4.36715947560173
"FT0427",-0.52596766045945
"FT0428",-0.142372484021305
"FT0429",-0.452246777071662
"FT0430",-0.123270154632675
"FT0431",-4.36715947560173
"FT0432",-4.36715947560173
"FT0433",-0.340531632001074
"FT0434",-4.36715947560173
"FT0435",-0.954780704706031
"FT0436",-4.36715947560173
"FT0437",-4.36715947560173
"FT0438",-0.305917706537004
"FT0439",-0.474897682494768
"FT0440",-0.5116095687672
"FT0441",-0.416907001330322
"FT0442",3.53470070265769
"FT0443",-0.133364256136942
"FT0444",-0.0405853521122011
"FT0445",-0.205543441193531
"FT0446",3.53470070265769
"FT0447",3.53470070265769
"FT0448",-0.674335057974618
