"feature","filename","iso_cor","init_area","iso_area"
"FT006","190715_Std_4uMStdsMix1InMatrix_1.mzML",0,11125.3271774268,0
"FT006","190715_Std_4uMStdsMix1InMatrix_2.mzML",0,8144.48877859022,0
"FT006","190715_Std_4uMStdsMix2InH2O_1.mzML",0,11168.3496544909,0
"FT006","190715_Std_4uMStdsMix2InH2O_2.mzML",0,9547.45543905126,0
"FT006","190715_Std_4uMStdsMix2InMatrix_2.mzML",0,44283.8083692547,0
"FT006","190715_Std_H2OinMatrix_1.mzML",0,13325.0747105747,0
"FT006","190715_Std_H2OinMatrix_2.mzML",0,139841.36277139,0
"FT007","190715_Poo_TruePooFK180310_Full2.mzML",0,1621920.19361931,0
"FT007","190715_Poo_TruePooFK180310_Full3.mzML",0,699314.394837305,0
"FT007","190715_Smp_FK180310S62C1-DCM_C.mzML",0,171786.040173553,0
"FT007","190715_Smp_FK180310S64C1-25m_B.mzML",0,689688.010310411,0
"FT007","190715_Smp_FK180310S64C1-25m_C.mzML",0,612024.895287082,0
"FT007","190715_Smp_FK180310S64C1-DCM_A.mzML",0,649075.288343385,0
"FT007","190715_Smp_FK180310S64C1-DCM_B.mzML",0,540478.529547229,0
"FT007","190715_Smp_FK180310S64C1-DCM_B.mzML",0,136264.727273248,0
"FT007","190715_Smp_FK180310S64C1-DCM_C.mzML",0,185080.745938454,0
"FT007","190715_Smp_FK180310S77C1-25m_B.mzML",0,1068557.60086939,0
"FT007","190715_Smp_FK180310S77C1-25m_C.mzML",0,1053898.3149341,0
"FT007","190715_Smp_FK180310S77C1-DCM_B.mzML",0,420277.458460689,0
"FT007","190715_Smp_FK180310S80C1-25m_A.mzML",0,348138.931976095,0
"FT007","190715_Std_4uMStdsMix1InH2O_1.mzML",0,42034.3554785466,0
"FT007","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,94821.5824508797,0
"FT007","190715_Blk_KM1906U14-Blk_C.mzML",0,20221.1438800874,0
"FT007","190715_Poo_TruePooFK180310_Full1.mzML",0,26084.8650171356,0
"FT007","190715_Poo_TruePooFK180310_Half1.mzML",0,19703.7626377381,0
"FT007","190715_Poo_TruePooFK180310_Half2.mzML",0,1092814.99059632,0
"FT007","190715_Poo_TruePooFK180310_Half3.mzML",0,307687.016858667,0
"FT007","190715_Smp_FK180310S62C1-25m_A.mzML",0,21071.6795484871,0
"FT007","190715_Smp_FK180310S62C1-25m_B.mzML",0,36875.0287923571,0
"FT007","190715_Smp_FK180310S62C1-25m_C.mzML",0,449774.822441407,0
"FT007","190715_Smp_FK180310S62C1-DCM_A.mzML",0,39140.0047237556,0
"FT007","190715_Smp_FK180310S62C1-DCM_B.mzML",0,40186.8260780582,0
"FT007","190715_Smp_FK180310S64C1-25m_A.mzML",0,34243.7021599477,0
"FT007","190715_Smp_FK180310S77C1-25m_A.mzML",0,51338.4316061586,0
"FT007","190715_Smp_FK180310S77C1-DCM_A.mzML",0,30698.5160767296,0
"FT007","190715_Smp_FK180310S77C1-DCM_C.mzML",0,45858.0554931527,0
"FT007","190715_Smp_FK180310S80C1-25m_B.mzML",0,20684.9493229324,0
"FT007","190715_Smp_FK180310S80C1-25m_C.mzML",0,22067.7672126764,0
"FT007","190715_Smp_FK180310S80C1-DCM_A.mzML",0,36742.5302204667,0
"FT007","190715_Smp_FK180310S80C1-DCM_B.mzML",0,22017.7152400091,0
"FT007","190715_Smp_FK180310S80C1-DCM_C.mzML",0,32868.4299653335,0
"FT007","190715_Std_4uMStdsMix1InH2O_2.mzML",0,92670.5290072542,0
